palavra,correta,regra
pajé,S,1
vocês,S,1
crachá,S,1
aliás,S,1
mocotó,S,1
após,S,1
além,S,2
também,S,2
amém,S,2
armazéns,S,2
conténs,S,2
parabéns,S,2
mausoléu,S,3
véus,S,3
herói,S,3
sóis,S,3
fiéis,S,3
anéis,S,3
caráter,S,4
esfíncter,S,4
fóssil,S,4
réptil,S,4
líquen,S,4
lúmen,S,4
tórax,S,4
córtex,S,4
bíceps,S,4
fórceps,S,4
órfã,S,5
órfãs,S,5
ímã,S,5
ímãs,S,5
órgão,S,5
órgãos,S,5
sótão,S,5
sótãos,S,5
bênção,S,5
bênçãos,S,5
fórum,S,6
fóruns,S,6
quórum,S,6
quóruns,S,6
álbum,S,6
álbuns,S,6
Iândom,S,7
prótons,S,7
elétrons,S,7
nêutrons,S,7
ânus,S,8
vírus,S,8
ônus,S,8
húmus,S,8
bônus,S,8
tônus,S,8
Vênus,S,8
cáqui,S,9
bílis,S,9
júri,S,9
oásis,S,9
beribéri,S,9
biquíni,S,9
cútis,S,9
grátis,S,9
lápis,S,9
táxi,S,9
hóquei,S,10
jóquei,S,10
pônei,S,10
saudáveis,S,10
amásseis,S,10
cantásseis,S,10
fizésseis,S,10
líquido,S,11
lâmpada,S,11
ácaro,S,11
pássaro,S,11
trânsito,S,11
tática,S,11
exército,S,11
médico,S,11
bárbaro,S,11
árvore,S,11
 joia,N,12
alcaloide,N,12
androide,N,12
asteroide,N,12
geleia,N,12
ideia,N,12
assembleia,N,12
europeia,N,12
feiura,N,13
baiuca,N,13
bocaiuva,N,13
boiuno,N,13
cauila,N,13
maoista,N,13
taoismo,N,13
enjoo,N,14
voo,N,14
zoo,N,14
magoo,N,14
perdoo,N,14
veem,N,15
leem,N,15
creem,N,15
deem,N,15
desdeem,N,15
reveem,N,15
releem,N,15
"para (""exemplo: ele para"")",N,16
"pelo (""exemplo:pelo do cachorro)",N,16